scenario,Dense-сеть,GRU,Naive (t-1),RandomForest,Seasonal AutoReg,Seasonal naive (t-365),Лучшая нейросеть,Лучший нейросетевой MAE,Преимущество лучшей нейросети над RandomForest
Короткая история,2.096566227888135,1.9592583457247852,1.8693378995433791,1.9075423093045094,3.903482688074782,4.177146118721461,GRU,1.9592583457247852,0.05171603642027578
Средняя история,1.9159559817727843,1.757053525200173,1.8693378995433791,1.8707879251642123,4.050095988007295,4.177146118721461,GRU,1.757053525200173,-0.11373439996403922
Длинная история,1.9720851943563653,1.7748359282620965,1.8693378995433791,1.8171429239322539,4.071977209082636,4.177146118721461,GRU,1.7748359282620965,-0.04230699567015739
Максимум качественной истории,1.9188960795260999,1.7479563174332111,1.8693378995433791,1.81144130554107,4.010262344742615,4.177146118721461,GRU,1.7479563174332111,-0.06348498810785896
